title,author,binding,raw_price,original_price,discount_pct,in_stock,category,product_url
"Jujutsu Kaisen, Vol. 25","Akutami, Gege",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974751884/jujutsu-kaisen-vol-25?path=1_32
Jane Eyre,"Brontë, Charlotte",Paperback,"Rp 225,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780141441146/jane-eyre?path=1_32
The Tenant,"McFadden, Freida",Paperback,"Rp 255,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781464227318/the-tenant?path=1_32
People We Meet on Vacation,"Henry, Emily",Paperback,"Rp 235,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781984806758/people-we-meet-on-vacation?path=1_32
Onyx Storm,"Yarros, Rebecca",Paperback,"Rp 365,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780349437071/onyx-storm?path=1_32
The Midnight Library: A GMA Book Club Pick,"Haig, Matt",Paperback,"Rp 248,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780525559498/the-midnight-library-a-gma-book-club-pick?path=1_32
Pablo and Splash: Roman Holiday,"Dempsey, Sheena",Paperback,"Rp 200,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781526662859/pablo-and-splash-roman-holiday?path=1_32
Love Poems,"Kaur, Rupi",Hardcover,"Rp 398,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798881606343/love-poems?path=1_32
Sunrise on the Reaping,"Collins, Suzanne",Hardcover,"Rp 515,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780702340574/sunrise-on-the-reaping?path=1_32
Never Lie,"McFadden, Freida",Paperback,"Rp 238,000","Rp 325,000",-27%,1,Fiction & Literature,http://www.periplus.com/p/9781728296166/never-lie?path=1_32
The Surrogate Mother,"McFadden, Freida",Paperback,"Rp 255,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781464227301/the-surrogate-mother?path=1_32
Blue Lock 19,"Kaneshiro, Muneyuki",Paperback,"Rp 245,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781646517985/blue-lock-19?path=1_32
Not Quite Dead Yet tpb US,by Holly Jackson,Paperback,"Rp 365,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798217091591/not-quite-dead-yet-tpb-us?path=1_32
Letters from a Stoic,"Seneca, Lucius Annaeus",Paperback,"Rp 82,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780008425050/letters-from-a-stoic?path=1_32
"Solo Leveling, Vol. 14 (Comic): Side Stories 1",-,Paperback,"Rp 445,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798400904646/solo-leveling-vol-14-comic-side-stories-1?path=1_32
"Jujutsu Kaisen, Vol. 27","Akutami, Gege",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974755592/jujutsu-kaisen-vol-27?path=1_32
"Love Bullet, Vol. 1",Inee,Paperback,"Rp 285,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798855430301/love-bullet-vol-1?path=1_32
Family Happiness,"Tolstoy, Leo",Paperback,"Rp 138,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241746936/family-happiness?path=1_32
Almond (Nomad Edition),"Sohn, Won-Pyung",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063469228/almond-nomad-edition?path=1_32
The Housemaid,Freida McFadden,Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781538780015/the-housemaid?path=1_32
Meditations,"Aurelius, Marcus",Paperback,"Rp 82,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780008425029/meditations?path=1_32
Killer Instinct,"Barnes, Jennifer Lynn",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780316540728/killer-instinct?path=1_32
Picking Daisies on Sundays,"Cincotti, Liana",Paperback,"Rp 360,000",,,0,Fiction & Literature,http://www.periplus.com/p/9798396490833/picking-daisies-on-sundays?path=1_32
Babel: Or the Necessity of Violence: An Arcane History...,"Kuang, R. F.",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063021433/babel-or-the-necessity-of-violence-an-arcane-history-of-the-oxford-translators-revolution?path=1_32
Loved One,"Muharrar, Aisha",Hardcover,"Rp 575,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593655849/loved-one?path=1_32
"One Piece (Omnibus Edition), Vol. 35","Oda, Eiichiro",Paperback,"Rp 338,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974755899/one-piece-omnibus-edition-vol-35?path=1_32
In Ghostly Japan pb,"by Lafcadio Hearn (Author), Michael Dyla",Paperback,"Rp 109,000","Rp 228,000",-52%,1,Fiction & Literature,http://www.periplus.com/p/9784805318553/in-ghostly-japan-pb?path=1_32
We'll Prescribe You a Cat,"Ishida, Syou",Hardcover,"Rp 308,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781529936711/we-ll-prescribe-you-a-cat?path=1_32
Fantastic Four: Solve Everything [Marvel Premier Collection...,"Hickman, Jonathan",Paperback,"Rp 298,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781302964870/fantastic-four-solve-everything-marvel-premier-collection?path=1_32
The Perfect Son,"McFadden, Freida",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781464227295/the-perfect-son?path=1_32
Out of the Woods,"Bonam-Young, Hannah",Paperback,"Rp 386,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593871867/out-of-the-woods?path=1_32
We'll Prescribe You a Cat,"Ishida, Syou",Hardcover,"Rp 305,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593818749/we-ll-prescribe-you-a-cat?path=1_32
Don't Be In Love,"Cincotti, Liana",Paperback,"Rp 480,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798335570060/don-t-be-in-love?path=1_32
All in,"Barnes, Jennifer Lynn",Paperback,"Rp 230,000","Rp 250,000",-8%,1,Fiction & Literature,http://www.periplus.com/p/9780316540841/all-in?path=1_32
Better Than the Movies,"Painter, Lynn",Paperback,"Rp 258,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781534467637/better-than-the-movies?path=1_32
Case File Compendium: Bing an Ben (Novel) Vol. 2,Rou Bao Bu Chi Rou,Paperback,"Rp 343,000","Rp 429,000",-20%,1,Fiction & Literature,http://www.periplus.com/p/9781685797737/case-file-compendium-bing-an-ben-novel-vol-2?path=1_32
Batman: Gotham by Gaslight: DC Compact Comics Edition...,"Augustyn, Brian",Paperback,"Rp 198,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781799506652/batman-gotham-by-gaslight-dc-compact-comics-edition?path=1_32
In Your Dreams,"Adams, Sarah",Paperback,"Rp 228,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593723715/in-your-dreams?path=1_32
On the Calculation of Volume I,"Balle, Solvej",Paperback,"Rp 325,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780571383375/on-the-calculation-of-volume-i?path=1_32
"Solo Leveling, Vol. 13 (Comic)",-,Paperback,"Rp 358,200","Rp 398,000",-10%,1,Fiction & Literature,http://www.periplus.com/p/9798400902598/solo-leveling-vol-13-comic?path=1_32
Intermezzo,"Rooney, Sally",Paperback,"Rp 215,000","Rp 338,000",-36%,1,Fiction & Literature,http://www.periplus.com/p/9780374608538/intermezzo?path=1_32
Wuthering Heights,"Brontë, Emily",Paperback,"Rp 185,000","Rp 189,000",-2%,1,Fiction & Literature,http://www.periplus.com/p/9780141439556/wuthering-heights?path=1_32
The House Across the Lake,"Sager, Riley",Paperback,"Rp 235,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593183212/the-house-across-the-lake?path=1_32
Heaven Official's Blessing: Tian Guan CI Fu (Deluxe...,Mo Xiang Tong Xiu,Hardcover,"Rp 550,000","Rp 598,000",-8%,1,Fiction & Literature,http://www.periplus.com/p/9798888433201/heaven-official-s-blessing-tian-guan-ci-fu-deluxe-hardcover-novel-vol-1?path=1_32
"Musashi: Book One - Earth, Water & Fire - The Novel...","Yoshikawa, Eiji",Paperback,"Rp 358,000",,,1,Fiction & Literature,http://www.periplus.com/p/9784805318416/musashi-book-one-earth-water-and-fire-the-novel-new-unabridged-translation?path=1_32
The Full Moon Coffee Shop : THE #1 INTERNATIONALLY...,"Mochizuki, Mai",Paperback,"Rp 315,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781914240942/the-full-moon-coffee-shop-the-1-internationally-bestselling-healing-series?path=1_32
"Jujutsu Kaisen, Vol. 29","Akutami, Gege",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974762019/jujutsu-kaisen-vol-29?path=1_32
The Poppy War,"Kuang, R. F.",Paperback,"Rp 185,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063429147/the-poppy-war?path=1_32
"Kagurabachi, Vol. 1","Hokazono, Takeru",Paperback,"Rp 238,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974747245/kagurabachi-vol-1?path=1_32
Whispering Rooms,"Kondo, Marie",Paperback,"Rp 285,000","Rp 288,000",-1%,1,Fiction & Literature,http://www.periplus.com/p/9781806170586/whispering-rooms?path=1_32
Problematic Summer Romance,"Hazelwood, Ali",Paperback,"Rp 215,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781408729885/problematic-summer-romance?path=1_32
"Chinese Myths & Legends: Tales of Gods, Heroes...",-,Hardcover,"Rp 248,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781804178065/chinese-myths-and-amp-legends-tales-of-gods-heroes-and-amp-monsters?path=1_32
Next Time Will Be Our Turn,"Sutanto, Jesse Q.",Paperback,"Rp 218,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593816875/next-time-will-be-our-turn?path=1_32
Immortal Consequences: A Good Morning America YA Book...,"Marie, I. V.",Hardcover,"Rp 385,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593898802/immortal-consequences-a-good-morning-america-ya-book-club-pick?path=1_32
Sunrise on the Reaping: Collector's Gift Edition (...,"Collins, Suzanne",Hardcover,"Rp 682,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798225019280/sunrise-on-the-reaping-collector-s-gift-edition-the-hunger-games?path=1_32
"Kagurabachi, Vol. 5","Hokazono, Takeru",Paperback,"Rp 202,500","Rp 225,000",-10%,1,Fiction & Literature,http://www.periplus.com/p/9781974758913/kagurabachi-vol-5?path=1_32
The Husky and His White Cat Shizun: Erha He Ta de ...,Rou Bao Bu Chi Rou,Paperback,"Rp 368,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798888434857/the-husky-and-his-white-cat-shizun-erha-he-ta-de-bai-mao-shizun-novel-vol-10?path=1_32
The Jasad Heir,"Hashem, Sara",Paperback,"Rp 398,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780316477864/the-jasad-heir?path=1_32
Blue Lock 20,"Kaneshiro, Muneyuki",Paperback,"Rp 220,500","Rp 245,000",-10%,1,Fiction & Literature,http://www.periplus.com/p/9781646518265/blue-lock-20?path=1_32
The Picture of Dorian Gray,"Wilde, Oscar",Paperback,"Rp 225,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780141439570/the-picture-of-dorian-gray?path=1_32
Blue Lock 21,"Kaneshiro, Muneyuki",Paperback,"Rp 189,000","Rp 245,000",-23%,1,Fiction & Literature,http://www.periplus.com/p/9781646519446/blue-lock-21?path=1_32
Harley Quinn: Wild at Heart: DC Compact Comics Edition...,"Conner, Amanda",Paperback,"Rp 185,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781799503033/harley-quinn-wild-at-heart-dc-compact-comics-edition?path=1_32
The Count of Monte Cristo,"Dumas, Alexandre",Paperback,"Rp 258,000","Rp 286,000",-10%,1,Fiction & Literature,http://www.periplus.com/p/9780140449266/the-count-of-monte-cristo?path=1_32
Spider-Man: Fake Red,"Osawa, Yusuke",Paperback,"Rp 298,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974738786/spider-man-fake-red?path=1_32
Deep End,"Hazelwood, Ali",Paperback,"Rp 250,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593550441/deep-end?path=1_32
Michaelides- Silent Patient,"Michaelides, Alex",Paperback,"Rp 200,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781250762481/michaelides-silent-patient?path=1_32
Case File Compendium: Bing an Ben (Novel) Vol. 3,Rou Bao Bu Chi Rou,Paperback,"Rp 343,000","Rp 429,000",-20%,1,Fiction & Literature,http://www.periplus.com/p/9781685797744/case-file-compendium-bing-an-ben-novel-vol-3?path=1_32
Problematic Summer Romance,"Hazelwood, Ali",Paperback,"Rp 235,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798217187430/problematic-summer-romance?path=1_32
Murder at the Black Cat Café,"Yokomizo, Seishi",Paperback,"Rp 275,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781805335511/murder-at-the-black-cat-caf?path=1_32
Heaven Official's Blessing: Tian Guan CI Fu (Deluxe...,Mo Xiang Tong Xiu,Hardcover,"Rp 598,000",,,1,Fiction & Literature,http://www.periplus.com/p/9798893736311/heaven-official-s-blessing-tian-guan-ci-fu-deluxe-hardcover-novel-vol-8?path=1_32
Monkey King: Journey to the West,"Cheng'en, Wu",Paperback,"Rp 295,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780143138938/monkey-king-journey-to-the-west?path=1_32
Remarkably Bright Creatures,"Van Pelt, Shelby",Paperback,"Rp 218,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780063204164/remarkably-bright-creatures?path=1_32
The Do-Over,"Painter, Lynn",Paperback,"Rp 235,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781534478879/the-do-over?path=1_32
Beauty is a Wound,"Kurniawan, Eka",Paperback,"Rp 328,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781805331964/beauty-is-a-wound?path=1_32
Transformers Vol. 4: Conquer and Control,"Johnson, Daniel Warren",Paperback,"Rp 325,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781534332584/transformers-vol-4-conquer-and-control?path=1_32
Mate,"Hazelwood, Ali",Paperback,"Rp 218,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593952580/mate?path=1_32
"Omniscient Reader's Viewpoint, Vol. 1",Sleepy-C(3b2s Studio),Paperback,"Rp 398,000","Rp 450,000",-12%,1,Fiction & Literature,http://www.periplus.com/p/9798400901065/omniscient-reader-s-viewpoint-vol-1?path=1_32
Martyr!,"Akbar, Kaveh",Paperback,"Rp 248,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780593685778/martyr?path=1_32
"Chainsaw Man, Vol. 19","Fujimoto, Tatsuki",Paperback,"Rp 225,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781974758548/chainsaw-man-vol-19?path=1_32
On Earth We're Briefly Gorgeous,"Vuong, Ocean",Paperback,"Rp 232,000","Rp 357,000",-35%,1,Fiction & Literature,http://www.periplus.com/p/9780525562047/on-earth-we-re-briefly-gorgeous?path=1_32
The Apothecary Diaries 05 (Light Novel),"Hyuuga, Natsu",Paperback,"Rp 350,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781646093243/the-apothecary-diaries-05-light-novel?path=1_32
With Love from the Morisaki Bookshop,"Yagisawa, Satoshi",Hardcover,"Rp 395,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781786584960/with-love-from-the-morisaki-bookshop?path=1_32
The Best Short Stories of Edgar Allan Poe (Illustrated...,"Poe, Edgar Allan",Paperback,"Rp 360,000",,,0,Fiction & Literature,http://www.periplus.com/p/9781420951509/the-best-short-stories-of-edgar-allan-poe-illustrated-by-harry-clarke-with-an-introduction-by-edmund-clarence-stedman?path=1_32
The Menu of Happiness :,"Kashiwai, Hisashi",Paperback,"Rp 275,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781035060733/the-menu-of-happiness?path=1_32
"Dandadan, Vol. 16","Tatsu, Yukinobu",Paperback,"Rp 185,300","Rp 218,000",-15%,1,Fiction & Literature,http://www.periplus.com/p/9781974757930/dandadan-vol-16?path=1_32
On the Calculation of Volume III,"Balle, Solvej",Paperback,"Rp 318,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780571383429/on-the-calculation-of-volume-iii?path=1_32
Spectacular: A Caraval Holiday Novella,"Garber, Stephanie",Paperback,"Rp 170,100","Rp 245,000",-31%,1,Fiction & Literature,http://www.periplus.com/p/9781250370990/spectacular-a-caraval-holiday-novella?path=1_32
The Travelling Cat Chronicles and The Goodbye Cat :,"Arikawa, Hiro",Hardcover,"Rp 450,000","Rp 453,000",-1%,1,Fiction & Literature,http://www.periplus.com/p/9781529959871/the-travelling-cat-chronicles-and-the-goodbye-cat?path=1_32
Theo of Golden,"Levi, Allen",Paperback,"Rp 398,000",,,1,Fiction & Literature,http://www.periplus.com/p/9781668236512/theo-of-golden?path=1_32
We Solve Murders,"Osman, Richard",Hardcover,"Rp 515,000","Rp 644,000",-20%,1,Fiction & Literature,http://www.periplus.com/p/9780593653227/we-solve-murders?path=1_32
White Nights,"Dostoyevsky, Fyodor",Paperback,"Rp 125,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780241252086/white-nights?path=1_32
The Hunger Games Deluxe :,"Collins, Suzanne",Paperback,"Rp 325,000",,,1,Fiction & Literature,http://www.periplus.com/p/9780702342387/the-hunger-games-deluxe?path=1_32
The Art of Spending Money : Simple Choices for a Richer...,"Housel, Morgan",Paperback,"Rp 375,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781804091890/the-art-of-spending-money-simple-choices-for-a-richer-life?path=1_13
Marketing 7.0: A Guide for Thinking Marketers in the...,"Kotler, Philip",Hardcover,"Rp 518,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781394329861/marketing-7-0-a-guide-for-thinking-marketers-in-the-age-of-ai?path=1_13
The Intelligent Investor Third Edition : The Definitive...,"Zweig, Jason",Paperback,"Rp 518,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780063423527/the-intelligent-investor-third-edition-the-definitive-book-on-value-investing?path=1_13
The Psychology of Money: Timeless Lessons on Wealth...,"Housel, Morgan",Paperback,"Rp 438,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780857197689/the-psychology-of-money-timeless-lessons-on-wealth-greed-and-happiness?path=1_13
AI for Small Business: From Marketing and Sales to...,"Pallen, Phil",Paperback,"Rp 336,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781507222911/ai-for-small-business-from-marketing-and-sales-to-hr-and-operations-how-to-employ-the-power-of-artificial-intelligence-for-small-business-success?path=1_13
The Red Emperor: XI Jinping and His New China,"Sheridan, Michael",Paperback,"Rp 309,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781035413515/the-red-emperor-xi-jinping-and-his-new-china?path=1_13
"Think Faster, Talk Smarter","Abrahams, Matt",Paperback,"Rp 285,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781035024971/think-faster-talk-smarter?path=1_13
How Big Things Get Done,"Gardner, Dan",Paperback,"Rp 308,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781035018956/how-big-things-get-done?path=1_13
Countdown to Riches,"Byrne, Rhonda",Hardcover,"Rp 365,000","Rp 389,000",-6%,1,Business & Self-Help,http://www.periplus.com/p/9780008783495/countdown-to-riches?path=1_13
The Oz Principle: Getting Results Through Individual...,"Connors, Roger",Paperback,"Rp 450,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781591843481/the-oz-principle-getting-results-through-individual-and-organizational-accountability?path=1_13
"Day Trading 101, 2nd Edition: From Understanding Risk...","Duarte, Joe",Hardcover,"Rp 338,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781507222362/day-trading-101-2nd-edition-from-understanding-risk-management-and-creating-trade-plans-to-recognizing-market-patterns-and-using-automated-software?path=1_13
Self-Improved Me: An Illustrated Guide to Self-Discovery...,"Puar, Puty",Paperback,"Rp 250,000",,,1,Business & Self-Help,http://www.periplus.com/p/9789815266153/self-improved-me-an-illustrated-guide-to-self-discovery-and-continuous-improvement?path=1_13
Agentic Artificial Intelligence,Bornet Pascal,Paperback,"Rp 450,000",,,1,Business & Self-Help,http://www.periplus.com/p/9789819816224/agentic-artificial-intelligence?path=1_13
Nexus /US,Yuval Noah Harari,Paperback,"Rp 285,000","Rp 430,000",-34%,1,Business & Self-Help,http://www.periplus.com/p/9780593736814/nexus-us?path=1_13
Pokemon: 1001 Stickers,Pokemon,Paperback,"Rp 330,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780008552718/pokemon-1001-stickers?path=1_13
How to Think Like an Economist: Great Economists Who...,"Mochrie, Robbie",Paperback,"Rp 258,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781399408639/how-to-think-like-an-economist-great-economists-who-shaped-the-world-and-what-they-can-teach-us?path=1_13
The Storytelling Book: Finding Your Golden Thread ...,"Tasgal, Anthony",Paperback,"Rp 265,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951809/the-storytelling-book-finding-your-golden-thread-for-more-effective-presentations-10th-anniversary-edition?path=1_13
A Little History of Economics,"Kishtainy, Niall",Paperback,"Rp 285,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780300283242/a-little-history-of-economics?path=1_13
Building a StoryBrand 2.0,"Miller, Donald",Paperback,"Rp 362,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781400251308/building-a-storybrand-2-0?path=1_13
The Overthinker's Guide to Making Decisions: How to...,"Nguyen, Joseph",Hardcover,"Rp 440,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798893310665/the-overthinker-s-guide-to-making-decisions-how-to-make-decisions-without-losing-your-mind?path=1_13
The Let Them Theory: A Life-Changing Tool That Millions...,"Robbins, Mel",Hardcover,"Rp 598,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781401971366/the-let-them-theory-a-life-changing-tool-that-millions-of-people-can-t-stop-talking-about?path=1_13
Poor Economics: A Radical Rethinking of the Way to...,"Banerjee, Abhijit V.",Paperback,"Rp 398,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781541706187/poor-economics-a-radical-rethinking-of-the-way-to-fight-global-poverty?path=1_13
"How to Sell: Everything You Need to Think, Know and...","Radford, Steve",Paperback,"Rp 368,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781788608657/how-to-sell-everything-you-need-to-think-know-and-do-to-have-greater-sales-conversations?path=1_13
What Went Wrong With Capitalism,"Sharma, Ruchir",Paperback,"Rp 275,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781802061031/what-went-wrong-with-capitalism?path=1_13
Rich Dad Poor Dad: What the Rich Teach Their Kids ...,"Kiyosaki, Robert T.",Paperback,"Rp 188,000","Rp 198,000",-5%,1,Business & Self-Help,http://www.periplus.com/p/9781612681139/rich-dad-poor-dad-what-the-rich-teach-their-kids-about-money-that-the-poor-and-middle-class-do-not?path=1_13
